e,c,p,Le
1,1,1,12.0
1,1,2,9.0
1,1,3,7.0
1,2,1,4.0
1,2,2,3.0
1,2,3,3.0
2,1,1,28.0
2,1,2,20.0
2,1,3,16.0
2,2,1,10.0
2,2,2,8.0
2,2,3,7.0
3,1,1,28.0
3,1,2,20.0
3,1,3,16.0
3,2,1,10.0
3,2,2,8.0
3,2,3,7.0
4,1,1,28.0
4,1,2,20.0
4,1,3,16.0
4,2,1,10.0
4,2,2,8.0
4,2,3,7.0
5,1,1,12.0
5,1,2,9.0
5,1,3,7.0
5,2,1,4.0
5,2,2,3.0
5,2,3,3.0
6,1,1,50.0
6,1,2,35.0
6,1,3,28.0
6,2,1,18.0
6,2,2,14.0
6,2,3,12.0
7,1,1,12.0
7,1,2,9.0
7,1,3,7.0
7,2,1,4.0
7,2,2,3.0
7,2,3,3.0
8,1,1,50.0
8,1,2,35.0
8,1,3,28.0
8,2,1,18.0
8,2,2,14.0
8,2,3,12.0
9,1,1,12.0
9,1,2,9.0
9,1,3,7.0
9,2,1,4.0
9,2,2,3.0
9,2,3,3.0
10,1,1,28.0
10,1,2,20.0
10,1,3,16.0
10,2,1,10.0
10,2,2,8.0
10,2,3,7.0
11,1,1,12.0
11,1,2,9.0
11,1,3,7.0
11,2,1,4.0
11,2,2,3.0
11,2,3,3.0
12,1,1,12.0
12,1,2,9.0
12,1,3,7.0
12,2,1,4.0
12,2,2,3.0
12,2,3,3.0
13,1,1,28.0
13,1,2,20.0
13,1,3,16.0
13,2,1,10.0
13,2,2,8.0
13,2,3,7.0
14,1,1,12.0
14,1,2,9.0
14,1,3,7.0
14,2,1,4.0
14,2,2,3.0
14,2,3,3.0
15,1,1,28.0
15,1,2,20.0
15,1,3,16.0
15,2,1,10.0
15,2,2,8.0
15,2,3,7.0
16,1,1,28.0
16,1,2,20.0
16,1,3,16.0
16,2,1,10.0
16,2,2,8.0
16,2,3,7.0
17,1,1,50.0
17,1,2,35.0
17,1,3,28.0
17,2,1,18.0
17,2,2,14.0
17,2,3,12.0
18,1,1,28.0
18,1,2,20.0
18,1,3,16.0
18,2,1,10.0
18,2,2,8.0
18,2,3,7.0
19,1,1,12.0
19,1,2,9.0
19,1,3,7.0
19,2,1,4.0
19,2,2,3.0
19,2,3,3.0
20,1,1,28.0
20,1,2,20.0
20,1,3,16.0
20,2,1,10.0
20,2,2,8.0
20,2,3,7.0
21,1,1,12.0
21,1,2,9.0
21,1,3,7.0
21,2,1,4.0
21,2,2,3.0
21,2,3,3.0
22,1,1,28.0
22,1,2,20.0
22,1,3,16.0
22,2,1,10.0
22,2,2,8.0
22,2,3,7.0
23,1,1,12.0
23,1,2,9.0
23,1,3,7.0
23,2,1,4.0
23,2,2,3.0
23,2,3,3.0
24,1,1,12.0
24,1,2,9.0
24,1,3,7.0
24,2,1,4.0
24,2,2,3.0
24,2,3,3.0
25,1,1,28.0
25,1,2,20.0
25,1,3,16.0
25,2,1,10.0
25,2,2,8.0
25,2,3,7.0
26,1,1,12.0
26,1,2,9.0
26,1,3,7.0
26,2,1,4.0
26,2,2,3.0
26,2,3,3.0
27,1,1,28.0
27,1,2,20.0
27,1,3,16.0
27,2,1,10.0
27,2,2,8.0
27,2,3,7.0
28,1,1,12.0
28,1,2,9.0
28,1,3,7.0
28,2,1,4.0
28,2,2,3.0
28,2,3,3.0
29,1,1,50.0
29,1,2,35.0
29,1,3,28.0
29,2,1,18.0
29,2,2,14.0
29,2,3,12.0
30,1,1,12.0
30,1,2,9.0
30,1,3,7.0
30,2,1,4.0
30,2,2,3.0
30,2,3,3.0
31,1,1,28.0
31,1,2,20.0
31,1,3,16.0
31,2,1,10.0
31,2,2,8.0
31,2,3,7.0
32,1,1,28.0
32,1,2,20.0
32,1,3,16.0
32,2,1,10.0
32,2,2,8.0
32,2,3,7.0
