e,1,2,3,4
1,6.2,5.6,0.0,4.4
2,6.6,6.0,5.4,4.8
3,6.6,6.0,5.4,4.8
4,6.6,6.0,5.4,4.8
5,6.2,5.6,0.0,4.4
6,7.0,6.4,5.8,5.2
7,6.2,5.6,0.0,4.4
8,7.0,6.4,5.8,5.2
9,6.2,5.6,0.0,4.4
10,6.6,6.0,5.4,4.8
11,6.2,5.6,0.0,4.4
12,6.2,5.6,0.0,4.4
13,6.6,6.0,5.4,4.8
14,6.2,5.6,0.0,4.4
15,6.6,6.0,5.4,4.8
16,6.6,6.0,5.4,4.8
17,7.0,6.4,5.8,5.2
18,6.6,6.0,5.4,4.8
19,6.2,5.6,0.0,4.4
20,6.6,6.0,5.4,4.8
21,6.2,5.6,0.0,4.4
22,6.6,6.0,5.4,4.8
23,6.2,5.6,0.0,4.4
24,6.2,5.6,0.0,4.4
25,6.6,6.0,5.4,4.8
26,6.2,5.6,0.0,4.4
27,6.6,6.0,5.4,4.8
28,6.2,5.6,0.0,4.4
29,7.0,6.4,5.8,5.2
30,6.2,5.6,0.0,4.4
31,6.6,6.0,5.4,4.8
32,6.6,6.0,5.4,4.8
