e,s,1,2,3
1,1,7.0,3.8,2.4
1,2,5.0,2.7,1.7
1,3,1.0,0.0,0.0
1,4,4.0,2.2,1.4
2,1,15.0,8.2,5.2
2,2,11.0,6.0,3.8
2,3,2.0,1.0,0.0
2,4,9.0,4.9,3.1
3,1,15.0,8.2,5.2
3,2,11.0,6.0,3.8
3,3,2.0,1.0,0.0
3,4,9.0,4.9,3.1
4,1,15.0,8.2,5.2
4,2,11.0,6.0,3.8
4,3,2.0,1.0,0.0
4,4,9.0,4.9,3.1
5,1,7.0,3.8,2.4
5,2,5.0,2.7,1.7
5,3,1.0,0.0,0.0
5,4,4.0,2.2,1.4
6,1,27.5,15.1,9.6
6,2,20.0,11.0,7.0
6,3,3.0,1.0,0.0
6,4,17.5,9.6,6.1
7,1,7.0,3.8,2.4
7,2,5.0,2.7,1.7
7,3,1.0,0.0,0.0
7,4,4.0,2.2,1.4
8,1,27.5,15.1,9.6
8,2,20.0,11.0,7.0
8,3,3.0,1.0,0.0
8,4,17.5,9.6,6.1
9,1,7.0,3.8,2.4
9,2,5.0,2.7,1.7
9,3,1.0,0.0,0.0
9,4,4.0,2.2,1.4
10,1,15.0,8.2,5.2
10,2,11.0,6.0,3.8
10,3,2.0,1.0,0.0
10,4,9.0,4.9,3.1
11,1,7.0,3.8,2.4
11,2,5.0,2.7,1.7
11,3,1.0,0.0,0.0
11,4,4.0,2.2,1.4
12,1,7.0,3.8,2.4
12,2,5.0,2.7,1.7
12,3,1.0,0.0,0.0
12,4,4.0,2.2,1.4
13,1,15.0,8.2,5.2
13,2,11.0,6.0,3.8
13,3,2.0,1.0,0.0
13,4,9.0,4.9,3.1
14,1,7.0,3.8,2.4
14,2,5.0,2.7,1.7
14,3,1.0,0.0,0.0
14,4,4.0,2.2,1.4
15,1,15.0,8.2,5.2
15,2,11.0,6.0,3.8
15,3,2.0,1.0,0.0
15,4,9.0,4.9,3.1
16,1,15.0,8.2,5.2
16,2,11.0,6.0,3.8
16,3,2.0,1.0,0.0
16,4,9.0,4.9,3.1
17,1,27.5,15.1,9.6
17,2,20.0,11.0,7.0
17,3,3.0,1.0,0.0
17,4,17.5,9.6,6.1
18,1,15.0,8.2,5.2
18,2,11.0,6.0,3.8
18,3,2.0,1.0,0.0
18,4,9.0,4.9,3.1
19,1,7.0,3.8,2.4
19,2,5.0,2.7,1.7
19,3,1.0,0.0,0.0
19,4,4.0,2.2,1.4
20,1,15.0,8.2,5.2
20,2,11.0,6.0,3.8
20,3,2.0,1.0,0.0
20,4,9.0,4.9,3.1
21,1,7.0,3.8,2.4
21,2,5.0,2.7,1.7
21,3,1.0,0.0,0.0
21,4,4.0,2.2,1.4
22,1,15.0,8.2,5.2
22,2,11.0,6.0,3.8
22,3,2.0,1.0,0.0
22,4,9.0,4.9,3.1
23,1,7.0,3.8,2.4
23,2,5.0,2.7,1.7
23,3,1.0,0.0,0.0
23,4,4.0,2.2,1.4
24,1,7.0,3.8,2.4
24,2,5.0,2.7,1.7
24,3,1.0,0.0,0.0
24,4,4.0,2.2,1.4
25,1,15.0,8.2,5.2
25,2,11.0,6.0,3.8
25,3,2.0,1.0,0.0
25,4,9.0,4.9,3.1
26,1,7.0,3.8,2.4
26,2,5.0,2.7,1.7
26,3,1.0,0.0,0.0
26,4,4.0,2.2,1.4
27,1,15.0,8.2,5.2
27,2,11.0,6.0,3.8
27,3,2.0,1.0,0.0
27,4,9.0,4.9,3.1
28,1,7.0,3.8,2.4
28,2,5.0,2.7,1.7
28,3,1.0,0.0,0.0
28,4,4.0,2.2,1.4
29,1,27.5,15.1,9.6
29,2,20.0,11.0,7.0
29,3,3.0,1.0,0.0
29,4,17.5,9.6,6.1
30,1,7.0,3.8,2.4
30,2,5.0,2.7,1.7
30,3,1.0,0.0,0.0
30,4,4.0,2.2,1.4
31,1,15.0,8.2,5.2
31,2,11.0,6.0,3.8
31,3,2.0,1.0,0.0
31,4,9.0,4.9,3.1
32,1,15.0,8.2,5.2
32,2,11.0,6.0,3.8
32,3,2.0,1.0,0.0
32,4,9.0,4.9,3.1
