e,1,2,3,4
1,8.0,5.0,1.0,5.0
2,18.0,12.0,3.0,12.0
3,18.0,12.0,3.0,12.0
4,18.0,12.0,3.0,12.0
5,8.0,5.0,1.0,5.0
6,30.0,20.0,5.0,20.0
7,8.0,5.0,1.0,5.0
8,30.0,20.0,5.0,20.0
9,8.0,5.0,1.0,5.0
10,18.0,12.0,3.0,12.0
11,8.0,5.0,1.0,5.0
12,8.0,5.0,1.0,5.0
13,18.0,12.0,3.0,12.0
14,8.0,5.0,1.0,5.0
15,18.0,12.0,3.0,12.0
16,18.0,12.0,3.0,12.0
17,30.0,20.0,5.0,20.0
18,18.0,12.0,3.0,12.0
19,8.0,5.0,1.0,5.0
20,18.0,12.0,3.0,12.0
21,8.0,5.0,1.0,5.0
22,18.0,12.0,3.0,12.0
23,8.0,5.0,1.0,5.0
24,8.0,5.0,1.0,5.0
25,18.0,12.0,3.0,12.0
26,8.0,5.0,1.0,5.0
27,18.0,12.0,3.0,12.0
28,8.0,5.0,1.0,5.0
29,30.0,20.0,5.0,20.0
30,8.0,5.0,1.0,5.0
31,18.0,12.0,3.0,12.0
32,18.0,12.0,3.0,12.0
